8,49.84844544936552,4.778411686420442,0.0,0.0,Le coulis apaisant de l'eau,,./static/uploads/1.mp3
9,49.832228483480456,4.778497517108918,0.0,0.0,La chaleur du soleil,./static/uploads/IMG_4124.jpg,
13,49.83921412189219,4.766221046447754,0.0,0.0,Impressionnant et fantastique lancé de ricochet,./static/uploads/IMG_4121.jpg,
14,49.842396940923095,4.762862920761108,0.0,0.0,La douceur des ânes et du vent,./static/uploads/DSC00386.jpg,
16,49.835972274529404,4.770984649658204,0.0,0.0,Perdu face à l'immensité du paysage; être fier du chemin parcouru,./static/uploads/DSC00362_2.jpg,
18,49.837091549492015,4.763290733098985,0.0,0.0,Le village des maisons (avec fleur soleil et bateau) : délicat et rigolo,./static/uploads/IMG_4116.jpg,
19,49.84824309514866,4.778704047203065,0.0,0.0,La meilleure chute de 2026 (Jules),./static/uploads/IMG_4131.jpg,
20,49.848215422711284,4.769691824913025,0.0,0.0,École Victor Hugo : point de départ et d'arrivée !,./static/uploads/IMG_4091.jpg,
21,49.83219042126995,4.778736233711244,0.0,0.0,Petit ruisseau; grandes glissades,./static/uploads/IMG_4110.jpg,./static/uploads/h1e1_eau_3.mp3
22,49.843510878083606,4.760491847991944,0.0,0.0,Petits frissons devant la maison abandonnée ...,./static/uploads/IMG_4038.jpg,
23,49.834875463730945,4.774450063705445,0.0,0.0,S'étonner qu'elles soient toujours debouts et intactes,./static/uploads/DSC00376.jpg,
24,49.83594805500117,4.772433042526246,0.0,0.0,Des arbres morts et majestueux nous ouvrent le ciel,./static/uploads/20260430_143134.jpg,
25,49.83628020747336,4.771038293838502,0.0,0.0,Profiter simplement d'une journée ensoleillée au calme,./static/uploads/DSC00375_2.jpg,./static/uploads/h5_amb_2.mp3
26,49.84299196645065,4.782367944717408,0.0,0.0,Et si on testait la résistance à l'eau du bateau de Jules ?,./static/uploads/IMG_4106.jpg,
27,49.83708808964023,4.763355106115342,0.0,0.0,Reprendre des forces pour mieux continuer,./static/uploads/DSC00346.jpg,
28,49.83422843749306,4.774181842803955,0.0,0.0,Incroyable de prendre le temps d'écouter ce que l'on entend jamais,./static/uploads/DSC00351.jpg,./static/uploads/h5_bruitage_11.mp3
29,49.83619024973741,4.771011471748353,0.0,0.0,Faire le point d'étape de notre parcours,./static/uploads/DSC00360_2.jpg,
30,49.846022331670916,4.765276908874513,49.8395,4.7809,image titre,./static/uploads/text_invit2.png,false
31,49.84371152242183,4.766821861267091,49.838,4.7804,image soustitre,./static/uploads/text_invit3.png,false
